Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Blank_20ng_3-18-2026_Slot2-04_21527.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Crop_100ng_3-18-2026_Slot2-01_21523.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Hind_100ng_3-18-2026_Slot2-03_21525.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Mid_100ng_3-18-2026_Slot2-02_21524.d
A0A7M7R8V0	A0A7M7R8V0_APIME	551986	deoxyribose-phosphate aldolase				30985
A0A7M7R8V4	A0A7M7R8V4_APIME	552520	AP-3 complex subunit mu-1 isoform X1		16467	22957.7	18138.4
A0A7M7R8V5	A0A7M7R8V5_APIME	550700	Vacuolar protein sorting-associated protein 53 homolog		16006.7	12881.3	10177.9
A0A7M7R8V7	A0A7M7R8V7_APIME	LOC552014	Probable methylthioribulose-1-phosphate dehydratase		38747.1	55677.1	123238
A0A7M7R8W1	A0A7M7R8W1_APIME	408608	Uncharacterized protein LOC408608		88484.7	44311.8	9994.55
A0A7M7R8W3	A0A7M7R8W3_APIME	LOC552449	Mediator of RNA polymerase II transcription subunit 6		2899.44	7629.68	
A0A7M7R8W5	A0A7M7R8W5_APIME	552835	Glutaredoxin-related protein 5, mitochondrial		37998.7	51334.6	50841.8
A0A7M7R8W6	A0A7M7R8W6_APIME	412377	Parafibromin		85221.4	99815.8	57961.8
A0A7M7R8W7	A0A7M7R8W7_APIME	413612	Uncharacterized protein C1orf50 homolog isoform X1		17886	11657.6	23118.7
A0A7M7R8W8	A0A7M7R8W8_APIME	552068	Protein phosphatase 1L isoform X1		55235.3		
A0A7M7R8X8	A0A7M7R8X8_APIME	413652	ATP-binding cassette sub-family F member 3 isoform X1		27265.5		28363.5
A0A7M7R8Y0	A0A7M7R8Y0_APIME	550673	Inosine-5'-monophosphate dehydrogenase		89801.5	82624.9	45650
A0A7M7R8Y4	A0A7M7R8Y4_APIME	551774	Acidic leucine-rich nuclear phosphoprotein 32 family member B		11973.8	20046	22445.7
A0A7M7R8Y5	A0A7M7R8Y5_APIME	552610	Cytochrome c oxidase subunit 5B, mitochondrial		65514.4	168743	55649.7
A0A7M7R8Y8	A0A7M7R8Y8_APIME	LOC413686	H/ACA ribonucleoprotein complex subunit		136316	94607	61727.3
A0A7M7R8Y9	A0A7M7R8Y9_APIME	552529	U6 snRNA-associated Sm-like protein LSm4		19729.6	12553.4	13957.3
A0A7M7R8Z0	A0A7M7R8Z0_APIME	550710	Serine/threonine-protein phosphatase		33498.8	47184.2	30996
A0A7M7R8Z1	A0A7M7R8Z1_APIME	LOC411239	Conserved oligomeric Golgi complex subunit 7		4783.91	6878.3	5386.93
A0A7M7R8Z2	A0A7M7R8Z2_APIME	551034	ADP-ribosylation factor-like protein 5B			17414.2	22602.7
A0A7M7R8Z3	A0A7M7R8Z3_APIME	LOC413130	RNA polymerase-associated protein CTR9 homolog		15843.5	29602.2	24864.2
A0A7M7R900	A0A7M7R900_APIME	412526	protein disulfide-isomerase	728905	682104	684242	1.03028e+06
A0A7M7R902	A0A7M7R902_APIME	413781	SURF1-like protein		10719	37103.3	58363.6
A0A7M7R905	A0A7M7R905_APIME	411280	GTP-binding protein 128up		55137.3	43871.7	30821.4
A0A7M7R906	A0A7M7R906_APIME	552656	Large ribosomal subunit protein mL45		13348.3	18359.9	49692.3
A0A7M7R908	A0A7M7R908_APIME	LOC552167	IWS1-like protein isoform X1		90147.6	27015.3	
A0A7M7R909	A0A7M7R909_APIME	552593	Large ribosomal subunit protein bL19m		16312.2	31948.9	20813.8
A0A7M7R911	A0A7M7R911_APIME	411299	Golgi resident protein GCP60		17130.5	15275.2	22336.4
